time,GDP
Dec-2009,334934
Mar-2010,314838
Jun-2010,340575
Sep-2010,345512
Dec-2010,365403
Mar-2011,341094
Jun-2011,366641
Sep-2011,372918
Dec-2011,388419
Mar-2012,358492
Jun-2012,381023
Sep-2012,379954
Dec-2012,396614
Mar-2013,369661
Jun-2013,391216
Sep-2013,393042
Dec-2013,416029
Mar-2014,386882
Jun-2014,403742
Sep-2014,402117
Dec-2014,421533
Mar-2015,392282
Jun-2015,408800
Sep-2015,411271
Dec-2015,427741
Mar-2016,398018
Jun-2016,421906
Sep-2016,423729
Dec-2016,456348
Mar-2017,429749
Jun-2017,449551
Sep-2017,451969
Dec-2017,472305
Mar-2018,446656
Jun-2018,473598
Sep-2018,476753
Dec-2018,501374
Mar-2019,471736
Jun-2019,500179
Sep-2019,503289
Dec-2019,522443
Mar-2020,488115
Jun-2020,470751
Sep-2020,488221
Dec-2020,531962