year,population
1971,4725503
1972,4795106
1973,4841898
1974,4894053
1975,4932016
1976,4959588
1977,5001888
1978,5053790
1979,5111130
1980,5171527
1981,5234889
1982,5303580
1983,5352959
1984,5402729
1985,5464512
1986,5531526
1987,5616736
1988,5707309
1989,5776283
1990,5834021
1991,5898731
1992,5957822
1993,5995055
1994,6044819
1995,6105560
1996,6176461
1997,6246267
1998,6305799
1999,6375103
2000,6446558
2001,6530349
2002,6580807
2003,6620715
2004,6650735
2005,6693206
2006,6742690
2007,6834156
2008,6943461
2009,7053755
2010,7144292
2011,7218529
2012,7304244
2013,7404032
2014,7508353
2015,7616168
2016,7732858
2017,7867936
2018,7980168
2019,8087379
2020,8167532
2021,8166757
2022,8172657
2023,8207936
2024,8271395
2025,8367277
2026,8462770
2027,8557484
2028,8651329
2029,8744525
2030,8838560
2031,8933640
2032,9028231
2033,9122611
2034,9216817
2035,9310896
2036,9404886
2037,9498738
2038,9592466
2039,9686079
2040,9779573