C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/05/24,01:30:03,0000000387879335,DEMAND,0000000387879334
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/24 01:00:00",NSW1,0,0.6,SATELLITE,"2023/05/24 01:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/24 01:00:00",QLD1,0,0.6,SATELLITE,"2023/05/24 01:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/24 01:00:00",QLDC,0,0.6,SATELLITE,"2023/05/24 01:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/24 01:00:00",QLDN,0,0.6,SATELLITE,"2023/05/24 01:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/24 01:00:00",QLDS,0,0.6,SATELLITE,"2023/05/24 01:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/24 01:00:00",SA1,0,0.6,SATELLITE,"2023/05/24 01:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/24 01:00:00",TAS1,0,0.6,SATELLITE,"2023/05/24 01:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/24 01:00:00",TASN,0,0.6,SATELLITE,"2023/05/24 01:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/24 01:00:00",TASS,0,0.6,SATELLITE,"2023/05/24 01:20:23"
D,ROOFTOP,ACTUAL,2,"2023/05/24 01:00:00",VIC1,0,0.6,SATELLITE,"2023/05/24 01:20:23"
C,"END OF REPORT",13
